car,orientation,col,row,length
X,H,5,8,2
A,H,12,14,3
B,H,10,14,2
C,H,3,1,2
D,V,14,9,2
E,V,5,11,2
F,V,15,6,3
G,V,1,5,3
H,V,3,2,2
I,V,13,8,3
J,H,7,13,2
K,V,9,4,2
L,H,14,15,2
M,V,3,11,3
N,V,6,11,3
O,H,4,4,3
P,H,11,5,2
Q,V,13,5,2
R,H,6,1,2
S,H,13,2,3
T,V,15,13,2
U,V,9,11,2
V,H,7,10,3
W,V,2,2,2
Y,H,13,12,2
Z,H,7,3,2
AB,H,11,15,3
AC,H,9,3,2
AD,V,2,13,3
AE,H,4,15,2
AF,V,10,11,3
AG,V,8,7,3
AH,H,7,4,2
AI,H,7,14,3
AJ,V,2,6,3
AK,H,3,7,3
AL,V,14,3,2
AM,H,3,5,3
AN,H,4,6,3
AO,H,1,1,2
AP,H,9,6,3
AQ,H,3,9,3
AR,H,1,9,2
AS,V,10,8,3
AT,V,9,1,2
AU,H,12,11,2
AV,H,10,2,2
AW,H,4,14,3
AX,V,1,11,3
AY,V,12,2,2
AZ,H,5,10,2
BA,H,6,5,2
BB,V,2,10,2
BC,H,8,15,3
BD,H,4,3,2
BE,V,4,11,2
BF,V,1,3,2
BG,H,6,2,2
BH,V,11,9,3
BI,V,12,6,3
BJ,H,3,10,2
BK,V,5,1,2
BL,V,14,6,3
BM,H,13,13,2
BN,V,12,9,2
BO,V,15,9,3
BP,H,10,1,2
BQ,V,15,3,3
BR,V,7,7,3
BS,V,12,12,2
BT,H,7,12,2
BU,H,4,13,2
BV,V,9,7,3
BY,H,11,4,3
BZ,H,13,1,3
CA,V,10,4,2
